property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
house,vipul tatvam villa,sector 48,8.4,21000.0,2.0,5,4,2.0,North,Moderately Old,3999.0,1,1,0,1,0,semifurnished,46
house,independent,sector 55,3.55,24500.0,2.0,4,4,2.0,East,Old Property,1449.0,0,0,0,0,0,semifurnished,27
house,dlf new town heights,sector 86,2.5,7058.0,1.0,4,4,3.0,East,Moderately Old,3399.0,1,1,1,1,0,semifurnished,168
house,independent,sector 40,2.1,23333.0,1.0,3,2,3.0,North,Moderately Old,900.0,0,0,0,0,1,semifurnished,41
house,independent,sector 14,4.5,20000.0,5.0,5,1,1.0,East,Relatively New,2778.0,0,0,0,0,0,unfurnished,0
house,independent,sector 43,6.5,35403.0,2.0,4,4,3.0,South-East,Moderately Old,1836.0,0,1,0,1,0,semifurnished,57
house,independent,sector 40,9.5,40135.0,3.0,12,4,4.0,North-West,New Property,2366.0,0,0,1,0,0,unfurnished,61
house,independent,sector 23,5.0,16244.0,2.0,4,2,2.0,East,Old Property,3077.0,0,0,0,0,0,semifurnished,6
house,international city by sobha phase 1,sector 109,5.5,21603.0,2.0,4,4,2.0,North-East,New Property,2429.0,0,1,0,0,0,unfurnished,64
house,international city by sobha phase 2,sector 109,5.65,10463.0,2.0,4,4,2.0,North-East,New Property,5398.0,0,1,0,0,1,unfurnished,47
house,emaar mgf marbella,sector 66,8.8,41608.0,1.0,4,4,3.0,South-East,Relatively New,2115.0,0,1,1,1,0,unfurnished,121
house,independent,sector 4,3.25,14444.0,2.0,3,2,2.0,South-East,Old Property,2249.0,0,0,0,0,0,semifurnished,28
house,independent,sector 4,5.0,10101.0,3.0,3,2,1.0,North-East,Old Property,4948.0,0,0,0,0,0,semifurnished,22
house,independent,sector 50,10.45,38704.0,1.0,5,2,3.0,North,Moderately Old,4000.0,1,1,0,1,0,semifurnished,163
house,vipul tatvam villa,sector 48,19.5,22222.0,2.0,6,3,2.0,North,Moderately Old,8772.0,1,1,1,1,0,unfurnished,137
house,independent,sector 82,7.5,23148.0,2.0,5,4,2.0,East,Relatively New,3239.0,0,1,0,1,0,semifurnished,149
house,independent,laxma,0.67,8557.0,3.0,2,1,1.0,South,Moderately Old,783.0,0,0,0,1,1,unfurnished,19
house,international city by sobha phase 1,sector 109,5.75,16429.0,1.0,4,2,3.0,South-East,Relatively New,4800.0,0,1,0,0,0,unfurnished,160
house,international city by sobha phase 1,sector 109,5.7,10556.0,1.0,5,4,3.0,East,Relatively New,5398.0,1,1,1,1,0,semifurnished,189
house,independent,sector 9,3.2,13519.0,3.0,3,2,1.0,East,Old Property,2366.0,0,0,0,0,0,semifurnished,37
house,independent,sector 56,11.5,42032.0,3.0,13,4,4.0,West,Relatively New,2735.0,1,1,0,1,0,semifurnished,53
house,vipul tatvam villa,sector 48,7.69,24069.0,2.0,5,3,2.0,North-West,Moderately Old,3194.0,1,1,1,1,0,semifurnished,137
house,independent,sector 82,7.0,21605.0,4.0,4,4,1.0,North-East,Relatively New,3239.0,1,1,0,1,0,furnished,53
house,independent,sector 7,1.55,13889.0,2.0,2,2,1.0,East,Moderately Old,1080.0,0,0,0,0,0,furnished,57
house,independent,sector 7,3.85,14650.0,1.0,4,3,3.0,North-West,Old Property,2627.0,0,0,0,0,0,semifurnished,28
house,independent,sector 7,2.0,13889.0,1.0,2,2,2.0,North-West,Old Property,1439.0,0,0,0,0,0,furnished,22
house,independent,sector 7,3.1,13778.0,2.0,3,2,2.0,North-West,Old Property,2249.0,0,0,0,0,0,semifurnished,22
house,independent,sector 7,2.25,15625.0,2.0,3,2,2.0,North-West,Old Property,1439.0,0,0,0,0,0,furnished,28
house,independent,sector 50,7.0,23333.0,1.0,4,2,3.0,North-East,Old Property,3400.0,0,1,0,0,0,unfurnished,138
house,vipul tatvam villa,sector 48,8.5,21250.0,2.0,5,4,2.0,North,Moderately Old,3999.0,1,1,0,1,1,semifurnished,53
house,emaar mgf marbella,sector 66,8.7,38667.0,1.0,5,2,3.0,East,New Property,2250.0,1,1,0,0,0,unfurnished,174
house,international city by sobha phase 2,sector 109,12.5,26670.0,2.0,6,3,3.0,East,Relatively New,4498.0,1,1,1,1,0,unfurnished,74
house,international city by sobha phase 2,sector 109,6.8,12593.0,2.0,5,3,2.0,North-West,Relatively New,5398.0,0,1,0,0,0,unfurnished,53
house,international city by sobha phase 2,sector 109,9.5,26389.0,2.0,6,3,3.0,West,Relatively New,3599.0,1,1,0,1,0,unfurnished,162
house,international city by sobha phase 2,sector 109,7.0,12963.0,2.0,6,2,2.0,West,Relatively New,5398.0,0,1,0,0,0,unfurnished,168
house,international city by sobha phase 2,sector 109,6.2,25514.0,2.0,5,2,2.0,South-West,Relatively New,2429.0,0,1,0,0,0,unfurnished,160
house,huda sector-56 gurgaon,sector 56,3.6,24845.0,2.0,5,4,3.0,North-East,Moderately Old,1449.0,0,0,0,0,1,unfurnished,59
house,international city by sobha phase 1,sector 109,5.9,24280.0,2.0,5,2,2.0,East,Relatively New,2429.0,0,1,0,0,0,semifurnished,122
house,international city by sobha phase 1,sector 109,5.85,26423.0,2.0,5,4,2.0,East,Relatively New,2213.0,0,1,0,0,0,semifurnished,97
house,bptp visionnaire,sector 70,4.0,6666.0,2.0,4,4,2.0,North-East,Relatively New,5998.0,0,1,0,0,0,unfurnished,183
house,bptp visionnaire,sector 70,5.35,8917.0,1.0,4,4,3.0,North,Relatively New,6000.0,1,1,1,1,0,furnished,180
house,independent,sector 25,6.6,36667.0,3.0,7,4,2.0,East,Moderately Old,1800.0,1,1,0,0,0,furnished,139
house,international city by sobha phase 1,sector 109,6.3,9000.0,2.0,5,4,2.0,West,Relatively New,7000.0,0,0,0,0,0,semifurnished,139
house,international city by sobha phase 1,sector 109,12.0,20000.0,2.0,6,3,2.0,North-East,Relatively New,7000.0,1,1,0,0,0,unfurnished,174
house,independent,sector 105,0.65,9028.0,3.0,2,1,1.0,East,Relatively New,720.0,0,0,0,1,1,unfurnished,13
house,independent,laxma,0.55,4074.0,2.0,3,2,2.0,South,Relatively New,1350.0,0,0,0,0,1,semifurnished,14
house,independent,laxma,0.85,630.0,3.0,3,1,1.0,North,Relatively New,13495.0,0,0,0,0,1,unfurnished,0
house,ansal sushant lok plots,sector 43,5.8,29974.0,3.0,6,3,2.0,South-West,Relatively New,1935.0,0,1,0,0,1,semifurnished,53
house,international city by sobha phase 1,sector 109,6.0,24691.0,2.0,5,4,2.0,North,Relatively New,2429.0,0,1,0,0,0,semifurnished,117
house,independent,sector 57,6.25,70489.0,3.0,9,4,3.0,North-East,New Property,2660.0,0,1,0,0,0,semifurnished,63
house,private house,sector 55,7.05,46906.0,4.0,18,4,4.0,North-East,Relatively New,1503.0,0,0,0,0,1,semifurnished,70
house,independent,sector 11,4.5,25000.0,4.0,16,4,4.0,South,Relatively New,1800.0,0,0,0,0,0,semifurnished,26
house,independent,sector 31,3.69,23699.0,2.0,4,2,2.0,East,Moderately Old,1557.0,1,1,0,1,0,semifurnished,84
house,independent,sector 43,2.5,25961.0,2.0,7,3,4.0,West,Relatively New,963.0,0,0,0,0,1,semifurnished,19
house,independent,sector 43,5.5,28424.0,1.0,1,0,1.0,South-West,Old Property,1935.0,0,0,0,0,1,unfurnished,13
house,unitech deerwood chase,sector 50,15.0,33333.0,2.0,4,2,2.0,West,Moderately Old,4498.0,0,1,0,0,0,unfurnished,189
house,unitech aspen greens,sector 50,6.95,64352.0,2.0,3,1,2.0,North-East,Moderately Old,2160.0,0,1,0,0,0,unfurnished,186
